,address,area,beds,full_bathrooms,half_bathrooms,price
201,"8602 N Dove Circle, Phoenix, AZ 85028","5,902 sq.ft.",5 beds,,,"$3,195,000"
202,"9410 W MEADOWBROOK Avenue, Phoenix, AZ 85037","2,585 sq.ft.",4 beds,4 ,,"$665,000"
203,"4721 E EDGEMONT Avenue, Phoenix, AZ 85008","2,634 sq.ft.",4 beds,3 ,,"$960,000"
204,"16008 N 23rd Avenue, Phoenix, AZ 85023","1,886 sq.ft.",3 beds,2 ,,"$398,000"
205,"1918 E DESERT Lane, Phoenix, AZ 85042","2,259 sq.ft.",3 beds,2 ,,"$535,000"
206,"9226 W MEADOWBROOK Avenue, Phoenix, AZ 85037","2,122 sq.ft.",4 beds,3 ,,"$525,000"
207,"3751 E FAIRMOUNT Avenue, Phoenix, AZ 85018","2,255 sq.ft.",4 beds,3 ,,"$1,125,000"
208,"1717 E MORTEN Avenue 39, Phoenix, AZ 85020","2,102 sq.ft.",3 beds,4 ,,"$765,000"
209,"42023 N BRIDLEWOOD Way, Anthem, AZ 85086","4,319 sq.ft.",5 beds,5 ,,"$1,249,000"
210,"10 W Georgia Avenue 6, Phoenix, AZ 85013","1,455 sq.ft.",2 beds,3 ,,"$525,000"
211,"6629 N 14TH Street, Phoenix, AZ 85014","1,890 sq.ft.",3 beds,2 ,,"$829,000"
212,"1141 E Kaler Drive, Phoenix, AZ 85020","1,008 sq.ft.",2 beds,2 ,,"$340,000"
213,"1009 E TUCKEY Lane, Phoenix, AZ 85014","2,305 sq.ft.",4 beds,3 ,,"$848,800"
214,"3012 E BERYL Avenue, Phoenix, AZ 85028","1,600 sq.ft.",3 beds,2 ,,"$689,000"
215,"1719 W BERYL Avenue, Phoenix, AZ 85021",980 sq.ft.,3 beds,2 ,,"$350,000"
216,"3416 E CAMBRIDGE Avenue, Phoenix, AZ 85008","2,023 sq.ft.",5 beds,2 ,,"$529,999"
217,"492xx N 15TH Avenue, New River, AZ 85087","3,983 sq.ft.",4 beds,5 ,,"$1,600,000"
218,"37907 N 17th Place, Phoenix, AZ 85086","3,059 sq.ft.",4 beds,3 ,,"$1,250,000"
219,"9854 N 29TH Street, Phoenix, AZ 85028","3,254 sq.ft.",4 beds,3 ,,"$1,100,000"
220,"8147 N 5TH Street, Phoenix, AZ 85020","2,268 sq.ft.",4 beds,2 ,,"$1,075,000"
221,"1005 E CARLISE Road, Phoenix, AZ 85086","2,556 sq.ft.",4 beds,3 ,,"$850,000"
222,"16660 S 19TH Place, Phoenix, AZ 85048","2,680 sq.ft.",4 beds,3 ,,"$849,999"
223,"2942 N 48TH Place, Phoenix, AZ 85018","2,335 sq.ft.",3 beds,4 ,,"$760,000"
224,"3145 W SANDRA Terrace, Phoenix, AZ 85053","3,601 sq.ft.",4 beds,3 ,,"$670,000"
225,"2603 W GRAY WOLF Trail, Phoenix, AZ 85085","2,032 sq.ft.",3 beds,2 ,,"$575,000"
226,"3325 E WINDSOR Avenue, Phoenix, AZ 85008","1,170 sq.ft.",3 beds,2 ,,"$519,000"
227,"6523 W Briles Road, Phoenix, AZ 85083","1,770 sq.ft.",4 beds,2 ,,"$515,000"
228,"3442 W HEARN Road, Phoenix, AZ 85053","2,077 sq.ft.",4 beds,2 ,,"$495,000"
229,"2720 E GARY Way, Phoenix, AZ 85042","2,097 sq.ft.",4 beds,3 ,,"$485,000"
230,"16 W ENCANTO Boulevard 506, Phoenix, AZ 85003","1,243 sq.ft.",2 beds,2 ,,"$439,900"
231,"907 E COLTER Street, Phoenix, AZ 85014","1,132 sq.ft.",3 beds,2 ,,"$425,000"
232,"9021 N 36TH Drive, Phoenix, AZ 85051","2,106 sq.ft.",3 beds,2 ,,"$424,000"
233,"6900 E PRINCESS Drive 2136, Phoenix, AZ 85054","1,093 sq.ft.",3 beds,2 ,,"$415,000"
234,"3119 N 38TH Street 3, Phoenix, AZ 85018",941 sq.ft.,2 beds,2 ,,"$360,000"
235,"3245 W CHARLESTON Avenue, Phoenix, AZ 85053",991 sq.ft.,2 beds,1 ,,"$329,900"
236,"39225 N 32ND Drive, Phoenix, AZ 85086",800 sq.ft.,1 beds,1 ,,"$325,000"
237,"18239 N 40th Street 104, Phoenix, AZ 85032","1,189 sq.ft.",2 beds,2 ,,"$310,000"
238,"3370 W LARKSPUR Drive, Phoenix, AZ 85029","1,616 sq.ft.",4 beds,2 ,,"$310,000"
